init_time,track_id,sample,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-05-14 18:00:00,70W,1,6,9.9,154.1,1009.0,27.991296000000002
2026-05-14 18:00:00,70W,1,12,10.0,153.3,1006.0,26.047456
2026-05-14 18:00:00,70W,2,90,8.6,163.70000000000002,1007.0,21.965392
2026-05-14 18:00:00,70W,2,102,9.1,160.3,1008.0,19.049632000000003
2026-05-14 18:00:00,70W,2,108,10.3,158.4,1007.0,20.021552
2026-05-14 18:00:00,70W,2,126,10.9,156.3,1009.0,19.049632000000003
2026-05-14 18:00:00,70W,2,138,9.3,154.9,1009.0,20.021552
2026-05-14 18:00:00,70W,3,12,6.8,148.4,1005.0,19.049632000000003
2026-05-14 18:00:00,70W,3,18,6.4,145.20000000000002,1008.0,20.021552
2026-05-14 18:00:00,70W,3,24,6.7,145.9,1006.0,21.965392
2026-05-14 18:00:00,70W,3,30,7.9,148.5,1008.0,25.075536
2026-05-14 18:00:00,70W,3,36,6.9,146.6,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,3,42,7.9,145.6,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,3,54,7.6000000000000005,141.9,1006.0,21.965392
2026-05-14 18:00:00,70W,3,60,6.8,140.0,1004.0,22.937312000000002
2026-05-14 18:00:00,70W,3,66,6.4,142.1,1007.0,21.965392
2026-05-14 18:00:00,70W,3,72,8.1,144.6,1005.0,23.909232000000003
2026-05-14 18:00:00,70W,3,84,9.4,142.3,1005.0,25.075536
2026-05-14 18:00:00,70W,3,90,9.1,141.1,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,3,96,10.0,140.0,1004.0,23.909232000000003
2026-05-14 18:00:00,70W,3,102,10.700000000000001,139.1,1006.0,27.991296000000002
2026-05-14 18:00:00,70W,3,108,10.6,137.8,1004.0,26.047456
2026-05-14 18:00:00,70W,3,114,11.0,136.5,1006.0,30.907056
2026-05-14 18:00:00,70W,3,120,11.4,135.4,1004.0,27.991296000000002
2026-05-14 18:00:00,70W,3,126,11.8,134.3,1006.0,26.047456
2026-05-14 18:00:00,70W,3,132,12.4,133.3,1004.0,26.047456
2026-05-14 18:00:00,70W,3,138,12.6,132.2,1005.0,29.935136
2026-05-14 18:00:00,70W,3,144,13.0,131.2,1003.0,32.07336
2026-05-14 18:00:00,70W,4,6,8.5,162.6,1008.0,28.963216
2026-05-14 18:00:00,70W,4,12,8.0,159.5,1005.0,27.019376
2026-05-14 18:00:00,70W,4,18,7.6000000000000005,158.20000000000002,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,4,24,7.3,156.9,1004.0,25.075536
2026-05-14 18:00:00,70W,4,30,7.1000000000000005,155.8,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,4,42,6.9,154.0,1007.0,22.937312000000002
2026-05-14 18:00:00,70W,4,48,6.9,153.1,1004.0,21.965392
2026-05-14 18:00:00,70W,4,54,6.9,152.3,1006.0,26.047456
2026-05-14 18:00:00,70W,4,60,6.4,151.8,1004.0,25.075536
2026-05-14 18:00:00,70W,4,72,7.4,149.0,1005.0,20.993472
2026-05-14 18:00:00,70W,4,78,7.6000000000000005,147.8,1008.0,20.993472
2026-05-14 18:00:00,70W,4,84,7.1000000000000005,146.5,1005.0,20.993472
2026-05-14 18:00:00,70W,4,90,6.1000000000000005,146.3,1008.0,21.965392
2026-05-14 18:00:00,70W,4,96,7.4,145.1,1006.0,21.965392
2026-05-14 18:00:00,70W,4,102,7.2,144.9,1008.0,19.049632000000003
2026-05-14 18:00:00,70W,4,108,6.9,144.4,1006.0,20.993472
2026-05-14 18:00:00,70W,4,114,5.8,142.8,1008.0,19.049632000000003
2026-05-14 18:00:00,70W,4,120,7.4,143.4,1006.0,20.993472
2026-05-14 18:00:00,70W,4,126,7.2,143.1,1008.0,21.965392
2026-05-14 18:00:00,70W,4,132,7.4,143.0,1005.0,20.993472
2026-05-14 18:00:00,70W,4,138,7.3,142.70000000000002,1007.0,20.993472
2026-05-14 18:00:00,70W,4,144,7.7,142.8,1005.0,20.021552
2026-05-14 18:00:00,70W,5,0,6.6000000000000005,159.3,1007.0,25.075536
2026-05-14 18:00:00,70W,5,12,7.8,158.4,1006.0,25.075536
2026-05-14 18:00:00,70W,5,18,7.9,157.70000000000002,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,5,24,8.1,156.3,1005.0,32.07336
2026-05-14 18:00:00,70W,5,30,7.6000000000000005,155.3,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,5,48,6.8,150.70000000000002,1004.0,23.909232000000003
2026-05-14 18:00:00,70W,5,72,8.0,147.0,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,5,96,7.4,144.4,1005.0,20.021552
2026-05-14 18:00:00,70W,5,102,8.6,143.3,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,5,108,8.4,142.8,1005.0,21.965392
2026-05-14 18:00:00,70W,5,114,8.6,142.1,1007.0,20.993472
2026-05-14 18:00:00,70W,5,120,8.6,140.6,1006.0,21.965392
2026-05-14 18:00:00,70W,6,126,11.3,136.2,1008.0,25.075536
2026-05-14 18:00:00,70W,6,144,12.3,133.3,1006.0,21.965392
2026-05-14 18:00:00,70W,7,114,9.4,159.8,1009.0,29.935136
2026-05-14 18:00:00,70W,7,126,9.9,157.9,1009.0,23.909232000000003
2026-05-14 18:00:00,70W,10,6,6.1000000000000005,149.20000000000002,1008.0,20.993472
2026-05-14 18:00:00,70W,10,18,7.4,149.4,1008.0,20.993472
2026-05-14 18:00:00,70W,11,30,8.3,153.9,1007.0,25.075536
2026-05-14 18:00:00,70W,11,36,7.2,153.20000000000002,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,11,42,7.7,151.5,1008.0,25.075536
